,customer_id,credit_score,tenure,products_number,credit_card,active_member,country,age,gender,balance,churn,estimated_salary
0,15634602,619,2,1,1,1,France,42,,0.0,1,0.0
1,15647311,608,1,1,0,1,Spain,41,Female,83807.86,0,0.0
2,15619304,502,8,3,1,0,France,42,Female,159660.8,1,0.0
3,15701354,699,1,2,0,0,France,39,Female,0.0,0,0.0
4,15737888,850,2,1,1,1,Spain,43,Female,125510.82,0,0.0
5,15574012,645,8,2,1,0,Spain,44,Male,113755.78,1,0.0
6,15592531,822,7,2,1,1,France,50,Male,0.0,0,0.0
7,15656148,376,4,4,1,0,Germany,29,Female,115046.74,1,0.0
8,15792365,501,4,2,0,1,France,44,Male,142051.07,0,0.0
9,15592389,684,2,1,1,1,France,27,Male,134603.88,0,0.0
10,15767821,528,6,2,0,0,France,31,Male,102016.72,0,0.0
11,15737173,497,3,2,1,0,Spain,24,Male,0.0,0,0.0
12,15632264,476,10,2,1,0,France,34,Female,0.0,0,0.0
13,15691483,549,5,2,0,0,France,25,Female,0.0,0,190857.79
14,15600882,635,7,2,1,1,Spain,35,Female,0.0,0,0.0
15,15643966,616,3,2,0,1,Germany,45,Male,143129.41,0,0.0
16,15737452,653,1,1,1,0,Germany,58,Male,132602.88,1,0.0
17,15788218,549,9,2,1,1,Spain,24,Female,0.0,0,14406.41
18,15661507,587,6,1,0,0,Spain,45,Male,0.0,0,158684.81
19,15568982,726,6,2,1,1,France,24,Female,0.0,0,0.0
20,15577657,732,8,2,1,1,France,41,Male,0.0,0,0.0
21,15597945,636,8,2,1,0,Spain,32,Female,0.0,0,0.0
22,15699309,510,4,1,1,0,Spain,38,Female,0.0,1,0.0
23,15725737,669,3,2,0,1,France,46,Male,0.0,0,0.0
24,15625047,846,5,1,1,1,France,38,Female,0.0,0,0.0
25,15738191,577,3,2,0,1,France,25,Male,0.0,0,0.0
26,15736816,756,2,1,1,1,German,36,Male,136815.64,0,170041.95
27,15700772,571,9,2,0,0,France,44,Male,0.0,0,0.0
28,15728693,574,3,1,1,1,German,43,Female,141349.43,0,100187.43
29,15656300,411,0,2,1,1,France,29,Male,59697.17,0,53483.21
30,15589475,591,3,3,1,0,Spain,39,,0.0,1,0.0
31,15706552,533,7,1,0,1,France,36,Male,85311.7,0,0.0
32,15750181,553,9,2,0,0,German,41,Male,110112.54,0,0.0
33,15659428,520,6,2,1,1,Spain,42,Female,0.0,0,0.0
34,15732963,722,9,2,1,1,Spain,29,Female,0.0,0,142033.07
35,15794171,475,0,1,1,0,France,45,Female,134264.04,1,0.0
36,15788448,490,3,1,0,1,Spain,282,Male,145260.23,0,114066.77
37,15729599,804,7,1,0,1,Spain,33,Male,76548.6,1,0.0
38,15717426,850,7,1,1,1,France,36,Male,0.0,0,0.0
39,15585768,582,6,2,0,1,Grmany,41,Male,70349.48,0,0.0
40,15619360,472,4,1,1,0,Spain,40,Male,0.0,0,0.0
41,15738148,465,8,1,0,0,France,51,Female,122522.32,1,0.0
42,15687946,556,2,1,1,1,France,61,Female,117419.35,0,0.0
43,15755196,834,2,1,0,0,France,49,Female,131394.56,1,194365.76
44,15684171,660,5,1,1,1,Spain,61,Female,155931.11,0,0.0
45,15754849,776,4,2,1,1,Grmany,32,Female,109421.13,0,126517.46
46,15602280,829,9,1,1,1,German,27,Female,112045.67,1,0.0
47,15771573,637,9,1,1,1,Germany,39,Female,137843.8,1,0.0
48,15766205,550,2,1,0,1,Germany,38,Male,103391.38,0,0.0
49,15771873,776,2,2,1,0,German,37,Female,103769.22,0,0.0
50,15616550,698,10,2,1,0,Grmany,44,Male,116363.37,0,198059.16
51,15768193,585,5,2,0,0,Germany,36,Male,146050.97,0,86424.57
52,15683553,788,5,2,0,0,France,33,Female,0.0,0,0.0
53,15702298,655,8,1,0,0,German,41,Male,125561.97,1,0.0
54,15569590,601,1,1,1,0,Germany,42,Male,98495.72,1,0.0
55,15760861,619,1,1,1,1,France,43,Male,125211.92,0,0.0
56,15630053,656,5,1,1,0,France,45,Male,127864.4,0,87107.57
57,15647091,725,0,1,0,0,Germany,19,Male,75888.2,0,0.0
58,15623944,511,4,1,1,0,Spain,66,Female,0.0,1,0.0
59,15804771,614,4,1,1,1,France,51,,40685.92,0,46775.28
60,15651280,742,5,1,0,0,Germany,35,Male,136857.0,0,0.0
61,15773469,687,9,2,0,0,Germany,27,Female,152328.88,0,0.0
62,15702014,555,1,2,0,0,Spain,33,Male,56084.69,0,0.0
63,15751208,684,8,1,1,1,Spain,56,Male,78707.16,1,99398.36
64,15592461,603,4,1,1,1,Germany,26,Male,109166.37,0,0.0
65,15789484,751,6,2,1,1,Germany,36,Female,169831.46,0,0.0
66,15696061,581,1,1,1,0,German,34,Female,101633.04,0,0.0
67,15641582,735,10,2,1,1,Germany,43,Male,123180.01,0,0.0
68,15638424,661,5,2,0,1,Grmany,35,Female,150725.53,0,0.0
69,15755648,675,8,1,1,0,France,21,Female,98373.26,0,0.0
70,15703793,738,2,4,1,0,Germany,58,Male,133745.44,1,0.0
71,15620344,813,6,1,1,0,France,29,Male,0.0,0,0.0
72,15812518,657,0,1,0,1,Spain,37,Female,163607.18,0,0.0
73,15779052,604,5,2,1,1,Germany,25,Female,157780.84,0,0.0
74,15770811,519,9,2,0,1,France,265,Male,0.0,0,0.0
75,15780961,735,1,2,1,0,France,21,Female,178718.19,0,0.0
76,15614049,664,8,2,1,1,France,55,Male,0.0,0,0.0
77,15662085,678,9,1,1,1,France,32,Female,0.0,0,0.0
78,15575185,757,5,1,0,1,Spain,33,Male,77253.22,0,194239.63
79,15803136,416,10,2,1,0,German,41,Female,122189.66,0,98301.61
80,15706021,665,1,2,0,0,France,34,Female,96645.54,0,0.0
81,15663706,777,2,1,1,0,France,32,Female,0.0,1,136458.19
82,15641732,543,3,2,0,0,France,36,Female,0.0,0,0.0
83,15701164,506,4,1,1,1,France,34,Female,90307.62,0,0.0
84,15738751,493,4,2,1,0,France,46,Female,0.0,0,0.0
85,15805254,652,10,2,1,1,Spain,75,Female,0.0,0,0.0
86,15762418,750,3,1,1,0,Spain,22,Male,121681.82,1,0.0
87,15625759,729,9,2,1,0,France,30,Male,-0.0,0,0.0
88,15622897,646,4,3,1,0,France,46,Female,-0.0,1,0.0
89,15767954,635,3,2,1,1,German,28,Female,81623.67,0,0.0
90,15757535,647,5,3,1,1,Spain,44,Female,0.0,1,0.0
91,15731511,808,7,2,1,0,France,45,Male,118626.55,0,0.0
92,15809248,524,10,2,1,0,France,36,Female,0.0,0,0.0
93,15640635,769,8,2,1,1,France,29,,0.0,0,0.0
94,15676966,730,4,2,0,1,Spain,42,Male,0.0,0,0.0
95,15699461,515,10,1,0,1,Spain,35,Male,176273.95,0,0.0
96,15738721,773,9,1,0,1,Spain,41,Male,102827.44,0,64595.25
97,15693683,814,8,2,1,1,German,29,Male,97086.4,0,197276.13
98,15604348,710,8,2,0,0,Spain,22,Male,0.0,0,0.0
99,15633059,413,9,2,0,0,France,34,Male,0.0,0,0.0
100,15808582,665,6,1,1,1,France,40,Female,-0.0,0,0.0
101,15743192,623,6,2,0,0,France,44,Female,0.0,0,0.0
102,15580146,738,9,1,1,0,France,31,Male,82674.15,0,0.0
103,15776605,528,7,2,1,0,Spain,36,Male,0.0,0,0.0
104,15804919,670,1,1,1,1,Spain,65,Female,0.0,1,0.0
105,15613854,622,4,2,1,1,Spain,46,Female,107073.27,1,0.0
106,15599195,582,1,1,1,1,Germany,32,Male,88938.62,0,10054.53
107,15812878,785,2,1,0,1,Germany,36,Female,99806.85,0,0.0
108,15602312,605,5,1,0,0,Spain,33,Male,150092.8,0,0.0
109,15744689,479,9,1,1,0,Germany,35,Male,92833.89,1,0.0
110,15803526,685,3,1,0,1,German,30,Male,90536.81,0,0.0
111,15665790,538,7,2,1,0,Germany,39,Male,108055.1,0,0.0
112,15715951,562,2,1,0,0,France,42,Male,100238.35,0,0.0
113,15591100,675,9,1,0,1,Spain,36,Male,106190.55,0,0.0
114,15609618,721,9,2,0,1,Grmany,28,Male,154475.54,1,0.0
115,15675522,628,9,2,1,1,German,30,Female,132351.29,0,74169.13
116,15705512,668,6,1,1,0,Germany,37,Female,167864.4,0,0.0
117,15698028,506,1,2,1,0,France,41,Female,0.0,0,0.0
118,15661670,524,8,1,1,0,Germany,31,Female,107818.63,1,0.0
119,15600781,699,4,2,1,0,Germany,34,Male,185173.81,0,120834.48
120,15682472,828,8,2,0,0,France,34,Male,129433.34,0,38131.77
121,15580203,674,6,1,0,0,Spain,39,Male,120193.42,0,100130.95
122,15690673,656,6,2,1,0,France,39,Female,0.0,0,0.0
123,15760085,684,10,1,1,1,Germany,48,Female,126384.42,0,0.0
124,15779659,625,3,1,0,0,France,28,Female,0.0,0,0.0
125,15627360,432,9,1,1,0,France,42,Male,152603.45,1,0.0
126,15671137,549,1,1,0,1,France,52,Female,0.0,1,0.0
127,15782688,625,0,1,1,0,German,56,Male,148507.24,1,0.0
128,15575492,828,7,2,1,0,France,41,Female,0.0,0,171378.77
129,15591607,770,9,1,1,0,France,24,,101827.07,0,0.0
130,15740404,758,3,2,1,1,France,34,Female,0.0,0,0.0
131,15718369,795,9,1,1,1,Germany,33,Female,130862.43,0,0.0
132,15677871,687,9,1,1,1,France,38,Male,122570.87,0,0.0
133,15642004,686,1,2,0,1,France,25,Male,0.0,0,0.0
134,15712543,789,7,2,1,1,Germany,39,Male,124828.46,0,0.0
135,15584518,589,5,2,1,1,Germany,50,Female,144895.05,0,0.0
136,15802381,461,5,1,0,1,Germany,34,Female,63663.93,0,167784.28
137,15610156,637,2,1,0,1,France,40,Male,133463.1,0,93165.34
